0,02	0,14
0,04	0,13
0,07	0,13
0,09	0,13
0,12	0,12
0,14	0,11
0,17	0,10
0,19	0,11
0,21	0,10
0,24	0,09
0,26	0,09
0,29	0,09
0,31	0,08
0,34	0,08
0,36	0,07
0,39	0,07
0,41	0,07
0,43	0,07
0,46	0,06
0,48	0,06
0,51	0,06
0,53	0,06
0,56	0,05
0,58	0,06
0,61	0,06
0,63	0,06
0,65	0,05
0,68	0,05
0,70	0,05
0,73	0,05
0,75	0,05
0,78	0,05
0,80	0,05
0,83	0,05
0,85	0,05
0,87	0,05
0,90	0,05
0,92	0,05
0,95	0,05
0,97	0,05
1,00	0,05
1,02	0,05
1,05	0,06
1,07	0,06
1,09	0,06
1,12	0,06
1,14	0,06
1,17	0,06
1,19	0,06
1,22	0,06
1,24	0,06
1,26	0,06
1,29	0,06
1,31	0,06
1,34	0,07
1,36	0,07
1,39	0,07
1,41	0,06
1,44	0,06
1,46	0,06
1,48	0,06
1,51	0,06
1,53	0,07
1,56	0,07
1,58	0,07
1,61	0,06
1,63	0,06
1,66	0,06
1,68	0,06
1,70	0,05
1,73	0,07
1,75	0,07
1,78	0,07
1,80	0,06
1,83	0,07
1,85	0,07
1,88	0,07
1,90	0,06
1,92	0,07
1,95	0,07
1,97	0,07
2,00	0,06
2,02	0,07
2,05	0,07
2,07	0,07
2,10	0,06
2,12	0,07
2,14	0,07
2,17	0,07
2,19	0,06
2,22	0,06
2,24	0,06
2,27	0,06
2,29	0,06
2,31	0,07
2,34	0,07
2,36	0,07
2,39	0,06
2,41	0,06
2,44	0,06
2,46	0,06
2,49	0,06
2,51	0,06
2,53	0,06
2,56	0,06
2,58	0,05
2,61	0,05
2,63	0,05
2,66	0,05
2,68	0,05
2,71	0,05
2,73	0,05
2,75	0,05
2,78	0,05
2,80	0,05
2,83	0,05
2,85	0,05
2,88	0,05
2,90	0,05
2,93	0,05
2,95	0,05
2,97	0,05
3,00	0,05
3,02	0,05
3,05	0,04
3,07	0,05
3,10	0,05
3,12	0,05
